分类名称,日期,品类补货总量(千克),品类销量总量(千克),品类总利润(元),品类平均批发价(元/千克),品类别加权平均售价(元/千克)
水生根茎类,2023-07-01,16.032243938695228,14.236470882657905,72.15021324241741,8.161161601212493,11.65417550620028
水生根茎类,2023-07-02,15.933263672621901,14.149544038777119,72.0923287780897,8.171103401636577,11.715351782079885
水生根茎类,2023-07-03,15.83591515370208,14.064050447595815,72.0351025737005,8.18104520206066,11.776203086220574
水生根茎类,2023-07-04,15.740162605704713,13.979958683021126,71.97852376968844,8.190987002484745,11.83672936909551
水生根茎类,2023-07-05,15.645971210820651,13.897238160807508,71.92258174174255,8.200928802908829,11.896930648184794
水生根茎类,2023-07-06,15.553307079451343,13.815859112021048,71.86726609454773,8.210870603332914,11.956807006170374
水生根茎类,2023-07-07,15.462137221090686,13.735792557463911,71.81256665572647,8.220812403756998,12.016358589155338
花叶类,2023-07-01,270.3578540137953,239.95873691171843,222.3815617485214,6.127545192447398,2.173230495875253
花叶类,2023-07-02,277.92178683792105,246.80153041715045,223.02390259023343,6.194802795313105,2.118811766406194
花叶类,2023-07-03,286.0001412265862,254.10990328689599,223.70887646395582,6.262060398178812,2.063917996588099
花叶类,2023-07-04,294.6401197442461,261.92662351519283,224.4369140482206,6.329318001044519,2.008556955334756
花叶类,2023-07-05,303.8954335794104,270.30034514991695,225.20904195170863,6.396575603910225,1.9527381950626375
花叶类,2023-07-06,313.827168411648,279.2863946924934,226.02681181963467,6.463833206775932,1.8964733261541649
花叶类,2023-07-07,324.5048753046709,288.9477604954751,226.8922632427655,6.531090809641638,1.8397761882205614
茄类,2023-07-01,7.9833695387426165,7.482905206614182,35.001286188323085,4.723700566392896,10.042618920679692
茄类,2023-07-02,7.98860515488788,7.48774680111025,35.00245730379113,4.720647626226774,10.036470173662815
茄类,2023-07-03,7.993863371767013,7.492609520543099,35.00363258993171,4.717594686060653,10.030302287904012
茄类,2023-07-04,7.999144259337739,7.497493429997547,35.00481205359677,4.714541745894532,10.024115267740973
茄类,2023-07-05,8.00444788800489,7.502398594975691,35.0059957016763,4.711488805728409,10.017909117492458
茄类,2023-07-06,8.009774328623275,7.507325081399582,35.0071835410985,4.708435865562287,10.011683841458122
茄类,2023-07-07,8.015123652500574,7.512272955613932,35.008375578829984,4.705382925396166,10.005439443918307
辣椒类,2023-07-01,45.030277519918535,44.07406916907925,93.92011593785458,7.42508133245768,4.583422097782497
辣椒类,2023-07-02,48.181651284424916,47.23198117812864,95.40954535640559,7.511408949764422,4.340302695173618
辣椒类,2023-07-03,51.823700770555874,50.8796206206123,97.02938727802201,7.597736567071162,4.09302813793071
辣椒类,2023-07-04,56.05680136040494,55.11756499259211,98.80126324624423,7.684064184377903,3.842792618890233
辣椒类,2023-07-05,61.01114410320256,60.07615171898412,100.75118169693272,7.770391801684645,3.590679803945858
辣椒类,2023-07-06,66.85723184814509,65.9259925066091,102.9109301503047,7.8567194189913865,3.337711977355131
辣椒类,2023-07-07,73.82133470522078,72.89344026734412,105.31996044849512,7.943047036298127,3.0848815043734485
食用菌,2023-07-01,37.41347929371561,35.06493704023261,29.93493966769401,1.5374241475877062,2.058882976850256
食用菌,2023-07-02,37.51202413716096,35.171141519754656,29.940941356700314,1.5677915828348707,2.0441273750013202
食用菌,2023-07-03,37.67543219368435,35.33644512360284,29.97424736724071,1.5981590180820355,2.0288326782944033
食用菌,2023-07-04,37.894954298915636,35.552933356583736,30.031588452999394,1.6285264533291999,2.0131831916507803
食用菌,2023-07-05,38.16355080842618,35.81424036179611,30.11024004607564,1.6588938885763647,1.9973193347590963
食用菌,2023-07-06,38.47553424973225,36.11522528377569,30.20792142621727,1.6892613238235294,1.9813471576091994
食用菌,2023-07-07,38.82629473634339,36.45172358984972,30.322715849468075,1.7196287590706938,1.965345926608611
