单品编码,单品名称,分类名称,日期,日序号,批发价格(元/千克),最优售价(元/千克),最优销量(千克),最优补货量(千克),最大利润(元),加成率,损耗率
102900005115762,苋菜,花叶类,2023-07-01,1,2.2151470895715843,4.430294179143169,8.29015640557904,10.174467851717036,14.189888818152632,0.5,0.1852
102900005115762,苋菜,花叶类,2023-07-02,2,2.2124289395436345,4.424857879087269,8.30074534926752,10.187463609803045,14.190579150127473,0.5,0.1852
102900005115762,苋菜,花叶类,2023-07-03,3,2.2097107895156847,4.419421579031369,8.311360860461923,10.200491974057343,14.191270364399497,0.5,0.1852
102900005115762,苋菜,花叶类,2023-07-04,4,2.206992639487735,4.41398527897547,8.322003038623379,10.213553066548084,14.191962463183717,0.5,0.1852
102900005115762,苋菜,花叶类,2023-07-05,5,2.204274489459785,4.40854897891957,8.332671983708494,10.226647009951515,14.192655448703473,0.5,0.1852
102900005115762,苋菜,花叶类,2023-07-06,6,2.201556339431835,4.40311267886367,8.343367796172414,10.239773927555737,14.193349323190443,0.5,0.1852
102900005115762,苋菜,花叶类,2023-07-07,7,2.1988381894038853,4.397676378807771,8.354090576971945,10.252933943264537,14.194044088884667,0.5,0.1852
102900005118824,高瓜(1),水生根茎类,2023-07-01,1,10.940274994316239,21.880549988632477,0.46791163380457834,0.6613591997237857,3.002712378724639,0.5,0.2925
102900005118824,高瓜(1),水生根茎类,2023-07-02,2,10.950749022744285,21.90149804548857,0.4670309102660489,0.6601143608000691,2.999929876943793,0.5,0.2925
102900005118824,高瓜(1),水生根茎类,2023-07-03,3,10.961223051172333,21.922446102344665,0.46615268406836785,0.658873051686739,2.9971526100071513,0.5,0.2925
102900005118824,高瓜(1),水生根茎类,2023-07-04,4,10.971697079600379,21.943394159200757,0.4652769457539832,0.6576352590162307,2.9943805630781055,0.5,0.2925
102900005118824,高瓜(1),水生根茎类,2023-07-05,5,10.982171108028426,21.964342216056853,0.46440368591014014,0.656400969484297,2.9916137213762024,0.5,0.2925
102900005118824,高瓜(1),水生根茎类,2023-07-06,6,10.992645136456474,21.98529027291295,0.46353289516862656,0.6551701698496488,2.988852070176879,0.5,0.2925
102900005118824,高瓜(1),水生根茎类,2023-07-07,7,11.00311916488452,22.00623832976904,0.4626645642055224,0.6539428469336005,2.9860955948112125,0.5,0.2925
102900005115786,竹叶菜,花叶类,2023-07-01,1,2.148356093000957,4.296712186001914,11.815956539973927,13.67904206989341,21.382311077303054,0.5,0.1362
102900005115786,竹叶菜,花叶类,2023-07-02,2,2.146712185877398,4.293424371754796,11.827511133411765,13.692418538332674,21.38684282701892,0.5,0.1362
102900005115786,竹叶菜,花叶类,2023-07-03,3,2.1450682787538393,4.290136557507679,11.839085890506233,13.70581834974095,21.391379009942533,0.5,0.1362
102900005115786,竹叶菜,花叶类,2023-07-04,4,2.1434243716302808,4.2868487432605615,11.850680861937692,13.719241562789641,21.395919633813165,0.5,0.1362
102900005115786,竹叶菜,花叶类,2023-07-05,5,2.1417804645067218,4.2835609290134435,11.862296098552886,13.73268823634277,21.400464706389528,0.5,0.1362
102900005115786,竹叶菜,花叶类,2023-07-06,6,2.140136557383163,4.280273114766326,11.873931651365606,13.74615842945775,21.40501423544987,0.5,0.1362
102900005115786,竹叶菜,花叶类,2023-07-07,7,2.138492650259604,4.276985300519208,11.8855875715574,13.7596522013862,21.409568228792022,0.5,0.1362
102900005115960,大白菜,花叶类,2023-07-01,1,1.638963855141266,3.277927710282532,19.228693997596377,24.737802647107138,22.485904493038028,0.5,0.2227
102900005115960,大白菜,花叶类,2023-07-02,2,1.637927724454075,3.27585544890815,19.243206272495012,24.756472755043113,22.488649037039202,0.5,0.2227
102900005115960,大白菜,花叶类,2023-07-03,3,1.6368915937668842,3.2737831875337684,19.257738693665882,24.77516878125033,22.491395653057474,0.5,0.2227
102900005115960,大白菜,花叶类,2023-07-04,4,1.6358554630796933,3.2717109261593866,19.27229130185539,24.793890778149223,22.49414434397015,0.5,0.2227
102900005115960,大白菜,花叶类,2023-07-05,5,1.6348193323925024,3.269638664785005,19.28686413791823,24.812638798299535,22.496895112660404,0.5,0.2227
102900005115960,大白菜,花叶类,2023-07-06,6,1.6337832017053115,3.267566403410623,19.30145724281777,24.831412894400835,22.49964796201722,0.5,0.2227
102900005115960,大白菜,花叶类,2023-07-07,7,1.6327470710181207,3.2654941420362413,19.31607065762635,24.850213119292874,22.502402894935457,0.5,0.2227
102900005116509,青茄子(1),茄类,2023-07-01,1,3.9831376240621017,7.966275248124203,2.323311475917166,2.4458484850164925,8.765987580857347,0.5,0.0501
