销售日期,分类编码,分类名称,正常销量(千克),打折销量(千克),总销量(千克),正常销售单价(元/千克),打折销售单价(元/千克),平均销售单价(元/千克),批发价格(元/千克),成本加成率,损耗率(%)
2020-07-01,1011010402,水生根茎类,4.85,0.0,4.85,24.9,0.0,24.9,17.54,0.419612314709236,26.65
2020-07-01,1011010101,花叶类,191.717,13.685,205.402,8.631250000000001,5.2,8.402641436061968,5.333125000000001,0.5755568144496832,13.565625
2020-07-01,1011010201,花菜类,46.64,0.0,46.64,11.5,0.0,11.5,7.630000000000001,0.5072083879423327,13.16
2020-07-01,1011010501,茄类,35.374,0.0,35.374,5.0,0.0,5.0,4.095,0.221001221001221,5.54
2020-07-01,1011010504,辣椒类,76.715,0.0,76.715,13.933333333333334,0.0,13.933333333333334,7.197777777777778,0.9357826489657304,10.05
2020-07-01,1011010801,食用菌,35.17,0.195,35.365,12.8,16.0,12.8176445638343,7.894,0.6237198586058145,8.236
2020-07-02,1011010402,水生根茎类,4.6,0.0,4.6,23.8,0.0,23.8,17.65,0.3484419263456092,26.65
2020-07-02,1011010101,花叶类,179.0,19.362,198.362,8.381250000000001,3.6533333333333338,7.919760790877287,5.090624999999999,0.5557541148439118,14.14875
2020-07-02,1011010201,花菜类,43.943,0.0,43.943,11.5,0.0,11.5,7.21,0.59500693481276,13.16
2020-07-02,1011010501,茄类,32.199,0.0,32.199,5.5,0.0,5.5,2.59,1.1235521235521235,5.54
2020-07-02,1011010504,辣椒类,66.06400000000001,0.0,66.06400000000001,12.94,0.0,12.94,7.014,0.8448816652409468,10.063
2020-07-02,1011010801,食用菌,48.510000000000005,0.0,48.510000000000005,13.16,0.0,13.16,7.836,0.6794282797345584,8.236
2020-07-03,1011010402,水生根茎类,4.41,5.162,9.572,10.0,6.4,8.058587547012118,5.61,0.4364683684513579,29.25
2020-07-03,1011010101,花叶类,183.947,6.832,190.779,8.40625,5.1,8.287849651953309,5.090624999999999,0.6280613189840756,14.14875
2020-07-03,1011010201,花菜类,42.076,0.0,42.076,11.0,0.0,11.0,6.890000000000001,0.5965166908563133,13.16
2020-07-03,1011010501,茄类,35.896,0.0,35.896,5.5,0.0,5.5,4.02,0.3681592039800996,5.54
2020-07-03,1011010504,辣椒类,64.253,0.0,64.253,13.14,0.0,13.14,6.8469999999999995,0.9190886519643642,10.063
2020-07-03,1011010801,食用菌,42.44199999999999,0.0,42.44199999999999,13.36,0.0,13.36,7.824,0.7075664621676891,8.236
2020-07-04,1011010402,水生根茎类,5.439,0.0,5.439,23.8,0.0,23.8,15.445,0.5409517643250243,26.65
2020-07-04,1011010101,花叶类,234.573,2.014,236.587,8.192307692307692,6.533333333333334,8.178185300295558,4.8538461538461535,0.6848876212970249,13.329230769230769
2020-07-04,1011010201,花菜类,55.662,0.0,55.662,11.0,0.0,11.000000000000002,6.99,0.5736766809728185,13.16
2020-07-04,1011010501,茄类,57.067,0.0,57.067,5.5,0.0,5.5,2.96,0.8581081081081081,5.54
2020-07-04,1011010504,辣椒类,80.838,0.444,81.28200000000001,13.34,13.2,13.339235255038012,6.708999999999999,0.9882598382826076,10.063
2020-07-04,1011010801,食用菌,46.824000000000005,0.438,47.262,13.36,17.8,13.40114764504253,7.984,0.678500456543403,8.236
2020-07-05,1011010402,水生根茎类,4.019,0.0,4.019,10.0,0.0,10.0,5.42,0.8450184501845018,29.25
2020-07-05,1011010101,花叶类,219.646,4.253,223.899,7.376923076923077,7.433333333333333,7.377994599442217,4.421538461538462,0.6686487437847741,13.99923076923077
2020-07-05,1011010201,花菜类,55.474,0.0,55.474,11.0,0.0,11.0,7.2,0.5277777777777778,13.16
2020-07-05,1011010501,茄类,60.942,0.874,61.816,7.666666666666667,9.25,7.689052995988094,4.793333333333333,0.6041139769098945,7.34
2020-07-05,1011010504,辣椒类,98.031,0.465,98.496,13.539999999999996,13.6,13.540283260233918,6.958,0.9460021931925724,10.063
2020-07-05,1011010801,食用菌,73.213,0.0,73.213,10.86,0.0,10.86,6.348000000000001,0.7107750472589789,8.028
2020-07-06,1011010402,水生根茎类,2.708,0.381,3.0890000000000004,10.0,9.7,9.962997733894465,5.45,0.8280729786962318,29.25
2020-07-06,1011010101,花叶类,183.439,12.301,195.74,8.35,9.4,8.415985746398283,4.977142857142858,0.6909271017447753,13.421428571428573
2020-07-06,1011010201,花菜类,42.277,0.444,42.721,11.5,13.2,11.51766812574612,7.54,0.5275421917435172,13.16
