单品编码,单品名称,分类编码,分类名称,是否上架,进货量(kg),加成率,售价(元/kg),预测销量(kg),预测批发价(元/kg),预估收入(元),进货成本(元),预估利润(元),毛利润(元/kg),毛利率,单位利润率,单位收益(元/kg),总收益(元),库存周转率,库存风险,价格竞争力
102900005116714,西兰花,1011010201,花菜类,1,16.80985501626487,0.3,10.375002857142858,16.80985501626487,7.98077142857143,174.40229382190523,134.15561063223478,40.24668318967045,2.3942314285714286,0.23076923076923075,0.23076923076923075,10.375002857142858,174.40229382190523,1.0,低,高
102900011030059,云南生菜(份),1011010101,花叶类,1,36.009521219726636,0.3,4.7792828571428565,36.009521219726636,3.676371428571428,172.09968745936143,132.38437496873956,39.71531249062187,1.1029114285714283,0.23076923076923075,0.23076923076923075,4.7792828571428565,172.09968745936143,1.0,低,高
102900005115250,西峡花菇(1),1011010801,食用菌,1,6.765302222064289,0.3,20.685599999999997,6.765302222064289,15.911999999999997,139.94433564473303,107.64948895748695,32.29484668724608,4.7736,0.2307692307692308,0.23076923076923075,20.685599999999997,139.94433564473303,1.0,低,高
102900011034026,枝江青梗散花,1011010201,花菜类,1,11.192252637327659,0.3,12.115851428571428,11.192252637327659,9.319885714285714,135.60367010489864,104.31051546530666,31.293154639591975,2.795965714285714,0.23076923076923075,0.23076923076923075,12.115851428571428,135.60367010489864,1.0,低,高
102900051000944,洪湖藕带,1011010402,水生根茎类,1,4.245527348392495,0.3,23.868,4.245527348392495,18.36,101.33224675143207,77.94788211648621,23.384364634945854,5.507999999999999,0.23076923076923075,0.23076923076923075,23.868,101.33224675143207,1.0,低,高
102900011030097,云南油麦菜(份),1011010101,花叶类,1,24.939891666062113,0.3,3.7980428571428573,24.939891666062113,2.9215714285714287,94.72277740020388,72.86367492323376,21.859102476970122,0.8764714285714286,0.23076923076923075,0.23076923076923075,3.7980428571428573,94.72277740020388,1.0,低,高
102900011016701,芜湖青椒(1),1011010504,辣椒类,1,15.996341172728362,0.3,4.487562857142857,15.996341172728362,3.451971428571428,71.78458649692081,55.218912689939074,16.565673806981735,1.0355914285714287,0.2307692307692308,0.23076923076923075,4.487562857142857,71.78458649692081,1.0,低,高
102900011000328,螺丝椒,1011010504,辣椒类,1,8.68168184163703,0.3,9.965837142857144,8.68168184163703,7.666028571428572,86.52022735985472,66.5540210460421,19.96620631381262,2.2998085714285716,0.23076923076923078,0.23076923076923075,9.965837142857144,86.52022735985472,1.0,低,高
102900005116257,紫茄子(2),1011010501,茄类,1,14.246023703878643,0.3,4.968711428571429,14.246023703878643,3.8220857142857145,70.78438078916129,54.44952368397023,16.334857105191062,1.1466257142857144,0.23076923076923078,0.23076923076923075,4.968711428571429,70.78438078916129,1.0,低,高
102900011022764,长线茄,1011010501,茄类,1,8.810854536936251,0.3,9.259268571428573,8.810854536936251,7.122514285714286,81.58206850128268,62.75543730867898,18.8266311926037,2.1367542857142867,0.23076923076923084,0.23076923076923075,9.259268571428573,81.58206850128268,1.0,低,高
102900011031100,小米椒(份),1011010504,辣椒类,1,23.014130197224045,0.3,2.831957142857143,23.014130197224045,2.1784285714285714,65.1750303986729,50.134638768209925,15.040391630462977,0.6535285714285717,0.23076923076923084,0.23076923076923075,2.831957142857143,65.1750303986729,1.0,低,高
102900005118824,高瓜(1),1011010402,水生根茎类,1,4.030544552213107,0.3,15.302040000000005,4.030544552213107,11.770800000000003,61.67555395974708,47.44273381519005,14.232820144557024,3.531240000000002,0.23076923076923084,0.23076923076923075,15.302040000000005,61.67555395974708,1.0,低,高
102900011030110,菠菜(份),1011010101,花叶类,1,10.821343401905567,0.3,5.2263342857142865,10.821343401905567,4.020257142857143,56.55595803886714,43.504583106820874,13.051374932046265,1.2060771428571435,0.23076923076923087,0.23076923076923075,5.2263342857142865,56.55595803886714,1.0,低,高
102900011034330,双孢菇(盒),1011010801,食用菌,1,8.838997931606587,0.3,4.512188571428572,8.838997931606587,3.470914285714286,39.88322544987603,30.679404192212328,9.203821257663702,1.041274285714286,0.2307692307692308,0.23076923076923075,4.512188571428572,39.88322544987603,1.0,低,高
